场景编号,分组,用途
000066,tune,阶段一选参
000187,tune,阶段一选参
000101,tune,阶段一选参
000193,tune,阶段一选参
000111,tune,阶段一选参
000121,tune,阶段一选参
000013,tune,阶段一选参
000002,tune,阶段一选参
000064,tune,阶段一选参
000044,tune,阶段一选参
000136,tune,阶段一选参
000170,tune,阶段一选参
000128,tune,阶段一选参
000076,tune,阶段一选参
000158,tune,阶段一选参
000167,tune,阶段一选参
000045,tune,阶段一选参
000130,tune,阶段一选参
000030,tune,阶段一选参
000003,tune,阶段一选参
000159,tune,阶段一选参
000015,tune,阶段一选参
000042,tune,阶段一选参
000126,tune,阶段一选参
000186,tune,阶段一选参
000162,tune,阶段一选参
000047,tune,阶段一选参
000110,tune,阶段一选参
000005,tune,阶段一选参
000194,tune,阶段一选参
000037,tune,阶段一选参
000122,tune,阶段一选参
000012,tune,阶段一选参
000036,tune,阶段一选参
000153,tune,阶段一选参
000069,tune,阶段一选参
000061,tune,阶段一选参
000195,tune,阶段一选参
000032,tune,阶段一选参
000172,tune,阶段一选参
000171,tune,阶段一选参
000060,tune,阶段一选参
000010,tune,阶段一选参
000144,tune,阶段一选参
000160,tune,阶段一选参
000052,tune,阶段一选参
000125,tune,阶段一选参
000106,tune,阶段一选参
000073,tune,阶段一选参
000113,tune,阶段一选参
000105,tune,阶段一选参
000095,tune,阶段一选参
000103,tune,阶段一选参
000145,tune,阶段一选参
000043,tune,阶段一选参
000000,tune,阶段一选参
000161,tune,阶段一选参
000192,tune,阶段一选参
000016,tune,阶段一选参
000080,tune,阶段一选参
000102,tune,阶段一选参
000038,tune,阶段一选参
000156,tune,阶段一选参
000176,tune,阶段一选参
000135,tune,阶段一选参
000078,tune,阶段一选参
000115,tune,阶段一选参
000019,tune,阶段一选参
000014,tune,阶段一选参
000177,tune,阶段一选参
000146,tune,阶段一选参
000179,tune,阶段一选参
000065,tune,阶段一选参
000084,tune,阶段一选参
000165,tune,阶段一选参
000046,tune,阶段一选参
000104,tune,阶段一选参
000079,tune,阶段一选参
000054,tune,阶段一选参
000196,tune,阶段一选参
000085,tune,阶段一选参
000118,tune,阶段一选参
000109,tune,阶段一选参
000133,tune,阶段一选参
000142,tune,阶段一选参
000033,tune,阶段一选参
000018,tune,阶段一选参
000140,tune,阶段一选参
000123,tune,阶段一选参
000175,tune,阶段一选参
000063,tune,阶段一选参
000083,tune,阶段一选参
000148,tune,阶段一选参
000100,tune,阶段一选参
000155,tune,阶段一选参
000072,tune,阶段一选参
000027,tune,阶段一选参
000184,tune,阶段一选参
000112,tune,阶段一选参
000051,tune,阶段一选参
000174,tune,阶段一选参
000004,tune,阶段一选参
000029,tune,阶段一选参
000183,tune,阶段一选参
000099,tune,阶段一选参
000098,tune,阶段一选参
000131,tune,阶段一选参
000124,tune,阶段一选参
000198,tune,阶段一选参
000134,tune,阶段一选参
000178,tune,阶段一选参
000120,tune,阶段一选参
000034,tune,阶段一选参
000048,tune,阶段一选参
000169,tune,阶段一选参
000138,tune,阶段一选参
000149,tune,阶段一选参
000132,tune,阶段一选参
000127,tune,阶段一选参
000021,tune,阶段一选参
000081,tune,阶段一选参
000077,tune,阶段一选参
000009,tune,阶段一选参
000082,tune,阶段一选参
000164,tune,阶段一选参
000119,tune,阶段一选参
000089,tune,阶段一选参
000068,tune,阶段一选参
000053,tune,阶段一选参
000090,tune,阶段一选参
000094,tune,阶段一选参
000041,tune,阶段一选参
000093,tune,阶段一选参
000116,tune,阶段一选参
000199,tune,阶段一选参
000157,tune,阶段一选参
000025,tune,阶段一选参
000180,tune,阶段一选参
000147,tune,阶段一选参
000074,tune,阶段一选参
000058,tune,阶段一选参
000152,tune,阶段一选参
000017,tune,阶段一选参
000049,tune,阶段一选参
000092,tune,阶段一选参
000075,tune,阶段一选参
000141,tune,阶段一选参
000020,tune,阶段一选参
000096,tune,阶段一选参
000031,tune,阶段一选参
000137,holdout,阶段二独立评测（不参与选参）
000117,holdout,阶段二独立评测（不参与选参）
000011,holdout,阶段二独立评测（不参与选参）
000067,holdout,阶段二独立评测（不参与选参）
000088,holdout,阶段二独立评测（不参与选参）
000091,holdout,阶段二独立评测（不参与选参）
000024,holdout,阶段二独立评测（不参与选参）
000097,holdout,阶段二独立评测（不参与选参）
000182,holdout,阶段二独立评测（不参与选参）
000190,holdout,阶段二独立评测（不参与选参）
000086,holdout,阶段二独立评测（不参与选参）
000181,holdout,阶段二独立评测（不参与选参）
000039,holdout,阶段二独立评测（不参与选参）
000168,holdout,阶段二独立评测（不参与选参）
000087,holdout,阶段二独立评测（不参与选参）
000185,holdout,阶段二独立评测（不参与选参）
000040,holdout,阶段二独立评测（不参与选参）
000001,holdout,阶段二独立评测（不参与选参）
000071,holdout,阶段二独立评测（不参与选参）
000150,holdout,阶段二独立评测（不参与选参）
000114,holdout,阶段二独立评测（不参与选参）
000056,holdout,阶段二独立评测（不参与选参）
000107,holdout,阶段二独立评测（不参与选参）
000191,holdout,阶段二独立评测（不参与选参）
000166,holdout,阶段二独立评测（不参与选参）
000050,holdout,阶段二独立评测（不参与选参）
000143,holdout,阶段二独立评测（不参与选参）
000197,holdout,阶段二独立评测（不参与选参）
000154,holdout,阶段二独立评测（不参与选参）
000129,holdout,阶段二独立评测（不参与选参）
000059,holdout,阶段二独立评测（不参与选参）
000055,holdout,阶段二独立评测（不参与选参）
000023,holdout,阶段二独立评测（不参与选参）
000007,holdout,阶段二独立评测（不参与选参）
000008,holdout,阶段二独立评测（不参与选参）
000108,holdout,阶段二独立评测（不参与选参）
000151,holdout,阶段二独立评测（不参与选参）
000022,holdout,阶段二独立评测（不参与选参）
000139,holdout,阶段二独立评测（不参与选参）
000173,holdout,阶段二独立评测（不参与选参）
000026,holdout,阶段二独立评测（不参与选参）
000188,holdout,阶段二独立评测（不参与选参）
000035,holdout,阶段二独立评测（不参与选参）
000057,holdout,阶段二独立评测（不参与选参）
000062,holdout,阶段二独立评测（不参与选参）
000070,holdout,阶段二独立评测（不参与选参）
000189,holdout,阶段二独立评测（不参与选参）
000006,holdout,阶段二独立评测（不参与选参）
000028,holdout,阶段二独立评测（不参与选参）
000163,holdout,阶段二独立评测（不参与选参）
