场景编号,blockSize=3,blockSize=5,blockSize=7,blockSize=9
000000,18.76,16.27,15.10,14.83
000002,33.29,27.86,25.14,24.20
000003,24.10,21.11,20.56,20.97
000004,34.32,30.31,27.93,26.94
000005,29.03,25.23,23.42,23.13
000009,9.74,9.36,9.44,9.54
000010,12.48,12.03,12.03,12.14
000012,17.60,16.29,16.06,16.43
000013,13.25,12.82,12.65,12.50
000014,12.77,12.07,11.71,11.47
000015,10.94,9.51,9.11,9.12
000016,9.10,7.97,7.65,7.63
000017,21.12,19.73,19.37,19.27
000018,19.45,18.28,17.75,17.50
000019,15.79,14.78,14.46,14.28
000020,27.57,26.08,25.29,24.73
000021,20.57,20.06,19.37,19.04
000025,13.56,13.08,13.10,13.30
000027,9.40,9.06,8.93,9.04
000029,17.37,14.47,13.97,14.16
000030,19.73,17.07,16.58,17.16
000031,11.52,10.82,10.50,10.50
000032,20.66,19.61,19.09,19.04
000033,11.08,10.62,10.44,10.58
000034,11.02,10.46,10.60,11.07
000036,15.40,14.95,14.73,14.64
000037,16.21,15.44,15.04,15.31
000038,16.25,15.62,15.25,15.54
000041,15.53,13.99,13.29,12.91
000042,16.68,15.78,15.18,14.88
000043,11.96,11.67,11.86,12.08
000044,12.15,11.67,11.65,11.88
000045,20.82,19.25,18.52,17.85
000046,10.90,10.31,10.44,10.66
000047,15.71,14.65,14.46,14.60
000048,16.90,15.71,15.66,15.91
000049,28.33,26.51,25.19,24.27
000051,16.45,15.60,15.35,14.98
000052,15.35,13.77,13.30,13.36
000053,11.47,10.65,10.38,10.38
000054,7.70,6.87,6.57,6.54
000058,35.31,31.90,30.21,29.48
000060,21.87,19.63,17.85,16.96
000061,38.69,33.36,29.79,27.69
000063,21.36,19.37,17.66,16.91
000064,26.53,23.34,21.62,20.95
000065,23.44,21.17,19.68,18.88
000066,24.03,21.04,19.76,18.92
000068,23.43,21.65,20.69,19.83
000069,22.60,21.12,20.13,19.91
000072,15.46,13.78,13.49,13.55
000073,9.53,8.62,8.69,9.20
000074,10.48,9.60,9.62,10.01
000075,13.26,9.82,8.94,9.62
000076,15.26,10.56,9.30,9.52
000077,20.46,16.73,15.70,15.36
000078,17.76,14.49,13.76,13.88
000079,11.87,9.34,8.56,8.60
000080,13.74,11.94,11.73,12.39
000081,13.55,12.04,11.79,12.24
000082,8.43,8.09,8.03,8.19
000083,10.48,10.64,10.58,10.57
000084,14.72,13.98,13.32,13.09
000085,31.57,28.83,27.69,27.74
000089,17.95,16.34,16.41,16.69
000090,37.94,36.89,36.50,36.55
000092,12.48,11.19,11.16,11.45
000093,23.84,22.33,21.34,21.07
000094,18.74,17.34,16.95,17.11
000095,27.70,26.28,26.01,25.62
000096,17.15,15.87,15.62,16.08
000098,17.00,16.04,15.80,15.92
000099,8.27,8.41,8.51,8.66
000100,11.54,11.06,10.86,10.88
000101,10.83,9.48,9.37,9.98
000102,9.05,8.61,8.50,8.62
000103,9.69,9.69,9.88,10.06
000104,89.93,87.79,85.79,83.86
000105,12.25,11.20,10.88,10.67
000106,11.91,11.40,11.07,10.96
000109,9.00,8.57,8.46,8.54
000110,9.77,9.53,9.42,9.43
000111,9.62,9.42,9.22,9.09
000112,26.82,25.03,24.41,24.41
000113,21.77,20.25,19.55,19.60
000115,18.94,17.97,17.89,18.22
000116,15.08,14.59,14.53,14.73
000118,21.20,21.02,21.31,22.15
000119,17.10,16.14,16.21,16.78
000120,14.18,13.58,13.05,13.09
000121,10.84,10.42,10.32,10.36
000122,14.22,13.96,13.93,14.25
000123,13.37,13.22,13.26,13.46
000124,13.66,13.48,13.50,13.66
000125,9.55,9.22,9.24,9.27
000126,14.62,14.41,14.25,14.31
000127,12.72,12.56,12.53,12.57
000128,10.82,10.20,9.98,10.02
000130,8.73,8.42,8.35,8.64
000131,18.01,17.33,16.85,16.56
000132,23.33,21.93,20.80,20.34
000133,11.43,10.49,9.99,9.98
000134,14.25,13.29,12.42,12.06
000135,10.06,9.27,8.70,8.48
000136,26.27,24.03,23.87,23.73
000138,11.14,10.05,9.54,9.90
000140,11.59,10.53,10.30,10.50
000141,18.58,15.36,14.45,14.24
000142,18.82,15.70,14.27,13.54
000144,19.71,18.58,17.57,16.43
000145,11.73,11.45,11.33,11.54
000146,8.23,7.85,7.59,7.61
000147,8.30,8.08,7.97,7.98
000148,9.40,9.14,8.96,8.97
000149,14.91,13.25,12.67,12.51
000152,16.43,14.06,12.82,12.69
000153,21.79,18.92,17.66,17.99
000155,15.59,14.53,14.44,14.43
000156,13.93,13.46,13.29,13.35
000157,16.21,15.71,15.55,15.86
000158,13.11,12.27,12.17,12.14
000159,12.87,11.89,11.47,11.53
000160,14.99,14.05,13.63,13.60
000161,27.71,26.26,25.42,25.05
000162,20.72,19.46,18.67,18.52
000164,29.56,28.07,27.08,26.46
000165,20.30,19.54,19.42,19.27
000167,18.21,16.37,15.67,15.30
000169,32.02,28.90,28.28,28.88
000170,16.93,16.33,15.88,15.64
000171,22.19,20.63,19.70,19.23
000172,12.26,11.82,11.45,11.09
000174,14.94,12.85,11.89,11.66
000175,10.85,9.87,9.25,9.07
000176,20.19,18.75,18.66,18.87
000177,20.03,16.86,16.25,16.22
000178,22.48,18.99,17.89,18.21
000179,22.87,19.88,18.76,18.38
000180,18.20,15.39,14.45,14.42
000183,10.50,9.83,9.55,9.62
000184,10.96,10.49,10.24,10.28
000186,13.83,13.28,13.24,13.25
000187,14.50,13.24,12.85,12.99
