场景编号,numDisparities=64,numDisparities=128,numDisparities=192,numDisparities=256
000000,12.73,16.27,20.73,26.60
000002,24.63,27.86,31.25,35.80
000003,19.35,21.11,25.57,31.60
000004,33.27,30.31,33.60,37.56
000005,24.69,25.23,28.96,34.04
000009,7.44,9.36,13.44,18.07
000010,9.06,12.03,15.93,20.31
000012,12.65,16.29,21.67,28.01
000013,9.81,12.82,17.28,24.01
000014,8.02,12.07,15.98,19.97
000015,6.44,9.51,13.00,18.64
000016,5.47,7.97,12.25,16.98
000017,10.60,19.73,28.66,35.33
000018,29.03,18.28,22.20,25.80
000019,12.98,14.78,18.88,23.34
000020,38.35,26.08,29.94,33.94
000021,18.97,20.06,24.51,29.46
000025,11.02,13.08,17.53,23.25
000027,9.09,9.06,12.95,17.88
000029,14.88,14.47,19.58,24.38
000030,21.31,17.07,20.49,24.85
000031,12.43,10.82,13.77,17.89
000032,17.01,19.61,25.50,28.45
000033,12.96,10.62,14.65,20.19
000034,8.23,10.46,13.94,17.86
000036,10.16,14.95,19.76,24.98
000037,11.69,15.44,19.38,22.57
000038,11.53,15.62,20.21,24.35
000041,9.62,13.99,18.58,23.12
000042,12.13,15.78,20.93,26.42
000043,8.85,11.67,15.30,19.57
000044,8.99,11.67,15.22,19.40
000045,13.42,19.25,25.71,32.66
000046,7.88,10.31,13.61,17.47
000047,12.49,14.65,17.24,20.44
000048,13.34,15.71,18.68,22.19
000049,44.03,26.51,28.73,31.31
000051,13.05,15.60,18.79,22.55
000052,11.81,13.77,16.25,19.10
000053,8.10,10.65,13.87,17.74
000054,6.13,6.87,10.90,15.30
000058,48.30,31.90,36.73,42.14
000060,15.65,19.63,24.48,29.67
000061,30.26,33.36,36.16,39.62
000063,15.71,19.37,23.28,28.04
000064,19.31,23.34,26.35,28.97
000065,17.29,21.17,24.46,28.87
000066,17.65,21.04,24.64,27.76
000068,18.86,21.65,25.55,29.53
000069,17.22,21.12,25.29,29.76
000072,13.41,13.78,20.34,28.95
000073,6.91,8.62,12.86,18.67
000074,8.33,9.60,13.94,19.70
000075,6.67,9.82,13.46,18.40
000076,7.13,10.56,15.00,19.87
000077,23.92,16.73,20.90,26.26
000078,10.74,14.49,18.29,23.35
000079,6.36,9.34,13.70,19.81
000080,7.57,11.94,18.02,22.77
000081,8.85,12.04,15.96,20.77
000082,6.53,8.09,11.48,14.99
000083,8.77,10.64,16.03,21.50
000084,12.89,13.98,19.44,24.79
000085,32.77,28.83,34.62,39.27
000089,12.50,16.34,20.92,24.91
000090,36.13,36.89,44.11,50.18
000092,10.78,11.19,15.61,20.27
000093,18.28,22.33,27.38,32.71
000094,11.22,17.34,25.67,34.13
000095,30.49,26.28,30.25,34.61
000096,11.60,15.87,22.08,26.22
000098,9.75,16.04,23.60,28.56
000099,6.02,8.41,11.71,16.08
000100,7.81,11.06,17.20,23.02
000101,5.88,9.48,13.59,17.77
000102,5.72,8.61,12.09,15.60
000103,5.36,9.69,13.96,17.64
000104,85.84,87.79,88.74,89.26
000105,8.72,11.20,15.96,22.11
000106,7.79,11.40,15.48,19.81
000109,5.68,8.57,13.23,18.57
000110,6.01,9.53,14.36,19.84
000111,5.87,9.42,14.39,19.84
000112,22.44,25.03,32.89,40.30
000113,21.47,20.25,23.86,28.39
000115,14.01,17.97,22.05,26.94
000116,12.52,14.59,18.69,24.04
000118,21.12,21.02,25.78,30.81
000119,14.63,16.14,20.05,23.47
000120,19.83,13.58,18.11,22.58
000121,8.10,10.42,14.99,19.47
000122,11.83,13.96,17.14,21.58
000123,8.72,13.22,17.74,21.83
000124,10.10,13.48,17.80,22.16
000125,6.91,9.22,12.85,16.91
000126,14.17,14.41,17.84,22.69
000127,9.01,12.56,18.53,24.77
000128,5.94,10.20,14.91,20.01
000130,7.24,8.42,13.27,19.17
000131,18.16,17.33,22.39,27.70
000132,21.07,21.93,26.24,31.16
000133,7.39,10.49,13.82,17.37
000134,11.61,13.29,15.76,20.88
000135,7.24,9.27,13.77,18.12
000136,31.16,24.03,33.49,42.44
000138,6.39,10.05,14.36,18.47
000140,6.67,10.53,15.84,20.42
000141,12.59,15.36,19.99,25.13
000142,13.84,15.70,19.65,24.04
000144,19.00,18.58,18.82,19.08
000145,14.62,11.45,15.93,19.89
000146,6.80,7.85,10.82,13.65
000147,6.00,8.08,10.99,14.53
000148,5.28,9.14,13.65,18.82
000149,10.64,13.25,17.86,22.79
000152,12.35,14.06,17.74,21.65
000153,16.82,18.92,20.83,22.31
000155,13.58,14.53,15.89,18.37
000156,10.00,13.46,17.02,20.78
000157,10.69,15.71,19.14,21.35
000158,11.09,12.27,16.22,20.30
000159,10.07,11.89,15.83,19.85
000160,11.36,14.05,18.70,23.96
000161,34.17,26.26,29.59,31.38
000162,17.09,19.46,22.96,26.81
000164,28.11,28.07,30.78,37.42
000165,20.63,19.54,23.46,27.64
000167,12.39,16.37,21.58,24.76
000169,24.79,28.90,41.44,50.21
000170,13.72,16.33,20.41,24.90
000171,17.19,20.63,24.77,28.70
000172,13.00,11.82,15.55,20.55
000174,12.19,12.85,15.60,19.71
000175,11.80,9.87,11.04,12.19
000176,18.36,18.75,21.97,25.66
000177,16.93,16.86,21.27,27.99
000178,17.61,18.99,23.68,28.28
000179,16.06,19.88,23.80,27.89
000180,11.52,15.39,22.65,28.41
000183,5.45,9.83,15.01,21.04
000184,7.40,10.49,13.37,16.72
000186,9.51,13.28,17.12,21.53
000187,11.77,13.24,17.46,22.05
