基础配置,uniquenessRatio,disp12MaxDiff,blockSize,P1,P2,场景数,公共区域D1,严格D1,有效区域D1,EPE,有效像素比例,场景D1中位,场景D1_P90,场景D1最差,中位耗时s,FPS
A3,0,-1,7,784,3136,150,8.4810,13.7237,4.8769,4.2629,84.3988,12.3487,19.4689,75.4012,0.0419,23.8408
A3,0,0,7,784,3136,150,8.4810,13.7237,4.8769,4.2629,84.3988,12.3487,19.4689,75.4012,0.0422,23.7117
A3,0,1,7,784,3136,150,8.4810,13.7237,4.8769,4.2629,84.3988,12.3487,19.4689,75.4012,0.0424,23.5944
A3,0,2,7,784,3136,150,8.4213,13.6673,4.9122,4.2369,84.5094,12.3323,19.3847,75.2740,0.0425,23.5307
A3,0,5,7,784,3136,150,8.2936,13.5470,5.0265,4.1713,84.8392,12.2680,19.1515,74.8228,0.0421,23.7506
A3,0,10,7,784,3136,150,8.1283,13.3912,5.2575,4.0713,85.3653,12.1257,18.8931,74.3124,0.0423,23.6251
A3,0,128,7,784,3136,150,7.8316,13.1115,5.9678,3.9585,86.8736,11.8024,18.3613,73.4013,0.0426,23.4842
A3,2,-1,7,784,3136,150,8.6656,13.8977,4.7663,4.3697,82.5320,12.4233,19.8360,76.1503,0.0448,22.3445
A3,2,0,7,784,3136,150,8.6656,13.8977,4.7663,4.3697,82.5320,12.4233,19.8360,76.1503,0.0448,22.3046
A3,2,1,7,784,3136,150,8.6656,13.8977,4.7663,4.3697,82.5320,12.4233,19.8360,76.1503,0.0449,22.2662
A3,2,2,7,784,3136,150,8.6083,13.8437,4.8003,4.3452,82.6375,12.3994,19.7769,76.0436,0.0446,22.4351
A3,2,5,7,784,3136,150,8.4842,13.7267,4.9249,4.2787,82.9688,12.3321,19.5427,75.6698,0.0451,22.1902
A3,2,10,7,784,3136,150,8.3167,13.5688,5.1534,4.1791,83.4896,12.1852,19.2736,75.2266,0.0445,22.4921
A3,2,128,7,784,3136,150,7.9541,13.2269,5.9058,4.0337,85.1149,11.7661,18.3773,73.6226,0.0446,22.4401
A3,5,-1,7,784,3136,150,8.9899,14.2034,4.5740,4.5484,81.7086,12.6341,20.6652,77.5551,0.0449,22.2924
