场景编号,A3_ur0_d12-1,A3_ur0_d120,A3_ur0_d121,A3_ur0_d122,A3_ur0_d125,A3_ur0_d1210,A3_ur0_d12128,A3_ur2_d12-1,A3_ur2_d120,A3_ur2_d121,A3_ur2_d122,A3_ur2_d125,A3_ur2_d1210,A3_ur2_d12128,A3_ur5_d12-1,A3_ur5_d120,A3_ur5_d121,A3_ur5_d122,A3_ur5_d125,A3_ur5_d1210,A3_ur5_d12128,B3_ur0_d12-1,B3_ur0_d120,B3_ur0_d121,B3_ur0_d122,B3_ur0_d125,B3_ur0_d1210,B3_ur0_d12128,B3_ur2_d12-1,B3_ur2_d120,B3_ur2_d121,B3_ur2_d122,B3_ur2_d125,B3_ur2_d1210,B3_ur2_d12128,B3_ur5_d12-1,B3_ur5_d120,B3_ur5_d121,B3_ur5_d122,B3_ur5_d125,B3_ur5_d1210,B3_ur5_d12128
000000,12.11,12.11,12.11,12.08,11.97,11.61,11.36,12.25,12.25,12.25,12.22,12.12,11.77,11.52,12.44,12.44,12.44,12.40,12.31,11.99,11.72,11.85,11.85,11.85,11.83,11.74,11.42,11.12,11.97,11.97,11.97,11.96,11.86,11.55,11.25,12.22,12.22,12.22,12.20,12.13,11.82,11.51
000002,16.66,16.66,16.66,16.58,16.35,16.07,15.17,16.98,16.98,16.98,16.91,16.70,16.42,15.42,17.46,17.46,17.46,17.40,17.21,16.95,15.95,16.32,16.32,16.32,16.24,16.05,15.84,14.83,16.56,16.56,16.56,16.49,16.31,16.11,15.03,17.12,17.12,17.12,17.06,16.92,16.72,15.68
000003,18.60,18.60,18.60,18.52,18.36,18.14,17.56,18.82,18.82,18.82,18.73,18.56,18.34,17.66,19.13,19.13,19.13,19.05,18.91,18.67,17.96,18.71,18.71,18.71,18.66,18.50,18.22,17.65,18.86,18.86,18.86,18.82,18.71,18.42,17.78,19.17,19.17,19.17,19.13,19.03,18.75,18.12
000004,20.48,20.48,20.48,20.38,20.17,19.92,18.99,20.88,20.88,20.88,20.80,20.60,20.32,19.35,21.54,21.54,21.54,21.46,21.27,20.98,20.00,20.46,20.46,20.46,20.35,20.15,19.77,18.79,20.80,20.80,20.80,20.70,20.50,20.11,19.12,21.44,21.44,21.44,21.37,21.19,20.84,19.87
000005,16.20,16.20,16.20,16.10,15.95,15.49,15.00,16.41,16.41,16.41,16.31,16.17,15.70,15.15,16.91,16.91,16.91,16.84,16.71,16.25,15.69,16.27,16.27,16.27,16.18,16.04,15.50,14.98,16.51,16.51,16.51,16.43,16.28,15.72,15.21,16.96,16.96,16.96,16.88,16.72,16.22,15.69
000009,9.23,9.23,9.23,9.19,9.12,9.05,8.69,9.26,9.26,9.26,9.22,9.16,9.08,8.67,9.35,9.35,9.35,9.31,9.25,9.17,8.73,9.39,9.39,9.39,9.34,9.27,9.19,8.80,9.41,9.41,9.41,9.37,9.30,9.21,8.77,9.50,9.50,9.50,9.48,9.41,9.30,8.84
000010,11.33,11.33,11.33,11.26,11.15,10.98,10.59,11.38,11.38,11.38,11.32,11.20,11.01,10.57,11.55,11.55,11.55,11.49,11.39,11.20,10.71,11.57,11.57,11.57,11.49,11.35,11.17,10.76,11.63,11.63,11.63,11.56,11.41,11.22,10.76,11.86,11.86,11.86,11.80,11.67,11.49,11.00
000012,15.28,15.28,15.28,15.21,15.17,15.00,14.59,15.36,15.36,15.36,15.30,15.24,15.07,14.59,15.51,15.51,15.51,15.43,15.37,15.19,14.64,15.40,15.40,15.40,15.35,15.29,15.14,14.60,15.48,15.48,15.48,15.43,15.36,15.20,14.57,15.61,15.61,15.61,15.56,15.49,15.33,14.66
000013,11.49,11.49,11.49,11.45,11.36,11.18,11.00,11.51,11.51,11.51,11.47,11.39,11.19,10.94,11.58,11.58,11.58,11.54,11.44,11.24,10.93,11.38,11.38,11.38,11.35,11.23,11.06,10.75,11.44,11.44,11.44,11.40,11.29,11.09,10.74,11.53,11.53,11.53,11.49,11.38,11.21,10.82
000014,10.47,10.47,10.47,10.43,10.34,10.23,10.12,10.48,10.48,10.48,10.44,10.35,10.26,10.14,10.63,10.63,10.63,10.60,10.47,10.30,10.08,10.31,10.31,10.31,10.28,10.18,10.00,9.84,10.35,10.35,10.35,10.32,10.24,10.04,9.85,10.42,10.42,10.42,10.39,10.29,10.11,9.88
000015,8.08,8.08,8.08,8.03,7.95,7.86,7.68,8.15,8.15,8.15,8.09,7.97,7.88,7.66,8.27,8.27,8.27,8.21,8.09,7.99,7.76,8.23,8.23,8.23,8.20,8.05,7.91,7.71,8.26,8.26,8.26,8.22,8.05,7.91,7.68,8.38,8.38,8.38,8.35,8.17,8.02,7.78
000016,6.81,6.81,6.81,6.78,6.72,6.61,6.53,6.83,6.83,6.83,6.81,6.75,6.61,6.52,6.92,6.92,6.92,6.91,6.84,6.70,6.57,6.82,6.82,6.82,6.80,6.75,6.61,6.50,6.84,6.84,6.84,6.83,6.77,6.63,6.50,6.90,6.90,6.90,6.88,6.82,6.70,6.55
000017,18.02,18.02,18.02,17.93,17.89,17.79,17.69,18.06,18.06,18.06,17.98,17.93,17.83,17.69,18.34,18.34,18.34,18.26,18.20,18.09,17.93,18.03,18.03,18.03,17.98,17.93,17.85,17.72,18.12,18.12,18.12,18.09,18.04,17.95,17.78,18.38,18.38,18.38,18.36,18.30,18.22,18.04
000018,16.30,16.30,16.30,16.23,16.00,15.82,15.53,16.39,16.39,16.39,16.31,16.14,15.94,15.58,16.71,16.71,16.71,16.62,16.40,16.19,15.77,16.25,16.25,16.25,16.20,15.96,15.75,15.42,16.33,16.33,16.33,16.28,16.05,15.84,15.43,16.62,16.62,16.62,16.56,16.36,16.15,15.74
000019,13.45,13.45,13.45,13.42,13.27,13.16,12.84,13.55,13.55,13.55,13.49,13.34,13.23,12.86,13.69,13.69,13.69,13.67,13.53,13.44,13.04,13.47,13.47,13.47,13.44,13.26,13.16,12.73,13.53,13.53,13.53,13.50,13.33,13.23,12.77,13.63,13.63,13.63,13.60,13.46,13.36,12.88
000020,22.71,22.71,22.71,22.63,22.21,21.93,21.61,22.89,22.89,22.89,22.80,22.54,22.20,21.80,23.22,23.22,23.22,23.15,22.96,22.70,22.27,22.59,22.59,22.59,22.52,22.23,21.92,21.44,22.77,22.77,22.77,22.73,22.39,22.09,21.64,23.20,23.20,23.20,23.11,22.87,22.49,22.04
000021,17.46,17.46,17.46,17.39,17.24,16.96,16.56,17.68,17.68,17.68,17.62,17.48,17.19,16.67,17.84,17.84,17.84,17.80,17.68,17.41,16.82,16.98,16.98,16.98,16.93,16.80,16.53,16.24,17.16,17.16,17.16,17.11,16.99,16.70,16.32,17.35,17.35,17.35,17.31,17.20,16.93,16.50
000025,12.40,12.40,12.40,12.38,12.31,12.14,11.86,12.48,12.48,12.48,12.45,12.38,12.20,11.89,12.63,12.63,12.63,12.61,12.53,12.36,12.00,12.48,12.48,12.48,12.45,12.36,12.17,11.91,12.50,12.50,12.50,12.48,12.38,12.20,11.90,12.65,12.65,12.65,12.63,12.54,12.37,12.04
000027,8.43,8.43,8.43,8.39,8.33,8.23,8.04,8.50,8.50,8.50,8.46,8.38,8.28,8.06,8.65,8.65,8.65,8.62,8.54,8.43,8.18,8.70,8.70,8.70,8.68,8.62,8.49,8.27,8.76,8.76,8.76,8.73,8.68,8.55,8.31,8.91,8.91,8.91,8.88,8.83,8.70,8.44
000029,12.60,12.60,12.60,12.56,12.42,12.29,12.11,12.92,12.92,12.92,12.87,12.74,12.63,12.40,13.50,13.50,13.50,13.46,13.36,13.28,13.07,12.86,12.86,12.86,12.81,12.63,12.49,12.25,13.14,13.14,13.14,13.09,12.95,12.83,12.60,13.77,13.77,13.77,13.74,13.63,13.53,13.32
000030,12.91,12.91,12.91,12.87,12.67,12.55,11.91,13.11,13.11,13.11,13.07,12.88,12.76,12.08,13.66,13.66,13.66,13.62,13.43,13.30,12.64,13.68,13.68,13.68,13.65,13.47,13.32,12.61,13.86,13.86,13.86,13.83,13.65,13.51,12.76,14.40,14.40,14.40,14.37,14.23,14.09,13.40
000031,10.03,10.03,10.03,9.95,9.85,9.72,9.48,10.12,10.12,10.12,10.05,9.94,9.79,9.50,10.33,10.33,10.33,10.27,10.17,10.02,9.69,10.09,10.09,10.09,10.02,9.90,9.73,9.49,10.17,10.17,10.17,10.12,10.00,9.83,9.55,10.36,10.36,10.36,10.31,10.20,10.03,9.73
000032,18.22,18.22,18.22,18.16,18.05,17.95,17.85,18.27,18.27,18.27,18.23,18.11,18.02,17.80,18.46,18.46,18.46,18.40,18.29,18.19,17.95,18.30,18.30,18.30,18.27,18.13,18.05,17.95,18.36,18.36,18.36,18.33,18.21,18.11,17.97,18.58,18.58,18.58,18.55,18.44,18.34,18.13
000033,9.51,9.51,9.51,9.48,9.34,9.13,8.87,9.63,9.63,9.63,9.58,9.45,9.23,8.93,9.90,9.90,9.90,9.87,9.71,9.47,9.08,9.73,9.73,9.73,9.68,9.55,9.29,8.93,9.81,9.81,9.81,9.77,9.63,9.38,8.97,10.08,10.08,10.08,10.06,9.89,9.65,9.22
000034,9.82,9.82,9.82,9.76,9.68,9.54,9.44,9.89,9.89,9.89,9.84,9.77,9.62,9.51,10.08,10.08,10.08,10.04,9.96,9.81,9.68,10.23,10.23,10.23,10.21,10.12,9.94,9.82,10.31,10.31,10.31,10.29,10.19,9.99,9.83,10.49,10.49,10.49,10.46,10.37,10.19,10.01
000036,13.12,13.12,13.12,13.09,12.97,12.88,12.80,13.26,13.26,13.26,13.23,13.10,12.97,12.81,13.56,13.56,13.56,13.52,13.32,13.20,12.96,13.38,13.38,13.38,13.33,13.20,13.07,13.01,13.45,13.45,13.45,13.41,13.29,13.17,13.06,13.65,13.65,13.65,13.61,13.50,13.37,13.19
000037,14.03,14.03,14.03,14.00,13.84,13.75,13.49,14.19,14.19,14.19,14.15,14.01,13.86,13.50,14.63,14.63,14.63,14.60,14.46,14.28,13.88,14.27,14.27,14.27,14.22,14.04,13.87,13.55,14.41,14.41,14.41,14.36,14.21,14.01,13.61,14.90,14.90,14.90,14.85,14.71,14.55,14.10
000038,13.87,13.87,13.87,13.83,13.76,13.69,13.47,13.98,13.98,13.98,13.94,13.87,13.79,13.52,14.36,14.36,14.36,14.31,14.25,14.18,13.87,14.13,14.13,14.13,14.08,14.04,13.96,13.72,14.27,14.27,14.27,14.24,14.19,14.10,13.82,14.80,14.80,14.80,14.77,14.72,14.65,14.34
000041,11.32,11.32,11.32,11.30,11.23,11.11,10.94,11.41,11.41,11.41,11.39,11.32,11.20,10.98,11.56,11.56,11.56,11.53,11.47,11.37,11.09,11.28,11.28,11.28,11.25,11.20,11.08,10.88,11.35,11.35,11.35,11.33,11.28,11.16,10.94,11.50,11.50,11.50,11.48,11.43,11.32,11.06
000042,13.39,13.39,13.39,13.35,13.27,13.19,13.04,13.49,13.49,13.49,13.44,13.36,13.27,13.06,13.60,13.60,13.60,13.56,13.51,13.41,13.16,13.18,13.18,13.18,13.14,13.03,12.94,12.79,13.25,13.25,13.25,13.21,13.11,13.01,12.81,13.41,13.41,13.41,13.38,13.29,13.19,12.95
000043,11.12,11.12,11.12,11.05,10.96,10.89,10.40,11.13,11.13,11.13,11.07,10.97,10.90,10.34,11.21,11.21,11.21,11.16,11.06,10.97,10.37,11.24,11.24,11.24,11.17,11.05,10.99,10.64,11.28,11.28,11.28,11.21,11.10,11.03,10.60,11.55,11.55,11.55,11.50,11.39,11.30,10.63
000044,10.91,10.91,10.91,10.87,10.76,10.71,10.50,11.00,11.00,11.00,10.96,10.85,10.78,10.52,11.18,11.18,11.18,11.14,11.00,10.92,10.63,11.18,11.18,11.18,11.12,11.01,10.94,10.51,11.29,11.29,11.29,11.23,11.14,11.05,10.57,11.48,11.48,11.48,11.42,11.32,11.24,10.68
000045,16.12,16.12,16.12,16.05,15.86,15.82,15.51,16.61,16.61,16.61,16.54,16.35,16.29,15.96,16.86,16.86,16.86,16.79,16.66,16.61,16.37,15.77,15.77,15.77,15.73,15.56,15.52,15.34,16.17,16.17,16.17,16.12,15.95,15.91,15.68,16.40,16.40,16.40,16.35,16.22,16.18,15.92
000046,9.60,9.60,9.60,9.53,9.44,9.38,9.20,9.64,9.64,9.64,9.57,9.47,9.41,9.17,9.72,9.72,9.72,9.66,9.55,9.49,9.21,9.69,9.69,9.69,9.63,9.53,9.46,9.20,9.74,9.74,9.74,9.68,9.58,9.53,9.20,9.84,9.84,9.84,9.78,9.70,9.63,9.29
000047,12.81,12.81,12.81,12.67,12.52,12.39,12.24,12.96,12.96,12.96,12.83,12.69,12.59,12.40,13.37,13.37,13.37,13.27,13.15,13.04,12.81,13.20,13.20,13.20,13.02,12.83,12.70,12.47,13.33,13.33,13.33,13.16,12.97,12.84,12.57,13.73,13.73,13.73,13.57,13.44,13.34,13.03
000048,14.30,14.30,14.30,14.17,13.92,13.64,13.34,14.38,14.38,14.38,14.25,14.00,13.71,13.34,14.56,14.56,14.56,14.45,14.20,13.95,13.47,14.79,14.79,14.79,14.62,14.36,14.08,13.61,14.90,14.90,14.90,14.73,14.48,14.20,13.68,15.14,15.14,15.14,15.00,14.77,14.42,13.87
000049,21.41,21.41,21.41,21.15,20.50,20.03,19.51,21.63,21.63,21.63,21.42,20.79,20.32,19.71,22.19,22.19,22.19,21.98,21.60,21.15,20.53,20.86,20.86,20.86,20.72,20.18,19.59,18.82,21.06,21.06,21.06,20.93,20.41,19.83,18.94,21.60,21.60,21.60,21.51,21.18,20.61,19.82
000051,13.24,13.24,13.24,13.12,12.75,12.60,12.19,13.34,13.34,13.34,13.23,12.90,12.76,12.30,13.61,13.61,13.61,13.50,13.19,13.05,12.57,13.21,13.21,13.21,13.11,12.79,12.62,12.18,13.31,13.31,13.31,13.22,12.90,12.71,12.24,13.53,13.53,13.53,13.45,13.19,13.02,12.49
000052,11.10,11.10,11.10,11.00,10.86,10.79,10.69,11.32,11.32,11.32,11.14,11.00,10.93,10.78,11.62,11.62,11.62,11.56,11.44,11.36,11.16,10.96,10.96,10.96,10.88,10.75,10.65,10.43,11.19,11.19,11.19,11.10,11.00,10.89,10.62,11.51,11.51,11.51,11.44,11.33,11.22,10.92
000053,9.29,9.29,9.29,9.24,9.17,9.09,8.90,9.31,9.31,9.31,9.27,9.19,9.13,8.87,9.41,9.41,9.41,9.37,9.29,9.22,8.93,9.52,9.52,9.52,9.48,9.41,9.34,9.01,9.58,9.58,9.58,9.55,9.47,9.40,9.03,9.65,9.65,9.65,9.62,9.55,9.49,9.10
000054,6.14,6.14,6.14,6.14,6.11,6.04,6.00,6.16,6.16,6.16,6.16,6.13,6.05,5.99,6.25,6.25,6.25,6.24,6.22,6.15,6.10,6.16,6.16,6.16,6.16,6.12,6.02,5.99,6.19,6.19,6.19,6.18,6.14,6.04,6.01,6.31,6.31,6.31,6.31,6.28,6.19,6.14
000058,25.06,25.06,25.06,24.99,24.77,24.52,23.92,25.51,25.51,25.51,25.44,25.21,24.95,24.26,26.39,26.39,26.39,26.31,26.13,25.97,25.25,25.02,25.02,25.02,24.95,24.83,24.53,23.78,25.35,25.35,25.35,25.28,25.17,24.89,24.15,26.25,26.25,26.25,26.20,26.07,25.83,25.12
000060,13.67,13.67,13.67,13.62,13.47,13.26,12.88,13.86,13.86,13.86,13.81,13.64,13.44,12.94,14.26,14.26,14.26,14.22,14.09,13.88,13.26,13.38,13.38,13.38,13.33,13.20,12.98,12.59,13.54,13.54,13.54,13.50,13.36,13.14,12.65,13.95,13.95,13.95,13.92,13.78,13.57,13.00
000061,19.36,19.36,19.36,19.27,19.04,18.78,18.38,19.73,19.73,19.73,19.67,19.43,19.18,18.68,20.60,20.60,20.60,20.53,20.34,20.12,19.49,18.69,18.69,18.69,18.62,18.38,18.10,17.82,19.09,19.09,19.09,19.04,18.83,18.57,18.15,19.87,19.87,19.87,19.83,19.65,19.43,18.90
000063,14.54,14.54,14.54,14.48,14.24,14.10,13.88,14.68,14.68,14.68,14.62,14.41,14.26,13.90,15.10,15.10,15.10,15.04,14.86,14.70,14.22,14.27,14.27,14.27,14.18,13.96,13.85,13.64,14.41,14.41,14.41,14.33,14.13,14.02,13.72,14.75,14.75,14.75,14.67,14.48,14.35,13.93
000064,16.59,16.59,16.59,16.53,16.41,16.21,15.87,16.81,16.81,16.81,16.76,16.64,16.44,15.90,17.24,17.24,17.24,17.20,17.09,16.91,16.23,16.42,16.42,16.42,16.37,16.24,16.02,15.72,16.62,16.62,16.62,16.56,16.44,16.26,15.79,17.06,17.06,17.06,17.01,16.87,16.67,16.11
